adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,"[10751, 18]",1306284,ca,Wolfgang (Extraordinari),"Wolfgang, a 9-year-old boy with an IQ of 125, is forced to live with his father, Carles, whom he has never seen, after the sudden death of his mother. He has one obsession, to run away to Paris to study at the Grimald Academy and become the best pianist in the world. But what Wolfgang doesn’t know is that the biggest challenge is right in front of him and that is to get along with his father.",22.716,/b0PxbVc7lcLDzoWU8m2E74h8VD7.jpg,2025-03-14,Wolfgang (Extraordinari),False,0.0,0
False,,"[27, 9648, 53]",1306707,en,I Don't Like It Here,"A recently paroled outsider returns to his desolate hometown, only to find a community plagued by a disturbing darkness. As he grapples with his own past and the town’s sinister secrets, he becomes the prime suspect in a series of gruesome murders.",22.714,/bdwrJZ0Ue9I3M8OsTP3FuFSbpB.jpg,2025-03-14,I Don't Like It Here,False,5.667,3
False,/wrj9UtHdBHVBKP9nkecvaQtPj9W.jpg,"[18, 9648, 53]",800367,en,The Actor,"Paul Cole finds himself stranded in a mysterious small town with no memory of who he is or how he got here. As bits and pieces of his past slowly emerge, he attempts to find his way home, but time is slippery, appearances can't be trusted, and it's unclear which of his identities is real.",22.708,/jp397HSWa7e7lIkM19rvizHfTbL.jpg,2025-03-14,The Actor,False,0.0,1
False,,"[16, 14, 9648, 27]",1322218,ja,劇場版モノノ怪 第二章 火鼠,Second installment of the Mononoke movie trilogy.,22.658,/bT2qcTXVNUbeIMjbggB14Wyymgi.jpg,2025-03-14,Mononoke the Movie: The Ashes of Rage,False,0.0,0
False,/DwRNhzn6yidczoiBZwZy8gdD64.jpg,[35],1326693,pl,Wujek foliarz,"Kuba is undergoing mandatory addiction therapy when he is kidnapped by his eccentric uncle – a conspiracy theorist who believes in the imminent end of the world. The uncle and his team of journalists from the ""Prawda TV"" channel want to involve him in their secret plan to prove that the mayoral elections were rigged. Initially skeptical of his uncle's obsession, Kuba discovers that the village is threatened with a real ecological disaster and decides to act. The situation is further complicated by his former love, Gośka. All this forces him to take matters into his own hands and make decisions that he has been running away from so far.",22.641,/m7KL3ufmOQyf8LSgQ87FPNKKw4v.jpg,2025-03-14,Wujek foliarz,False,0.0,0
False,/dlTbHQ8vO7qqTX4E1tfPUYzGlfQ.jpg,[18],1000085,fr,Morlaix,"A young high school student marked by the recent death of her mother, Gwen, spends her time with her group of friends, including her lover Thomas, an apprentice baker. When Jean-Luc, a Parisian student who looks like an artist, moves into the area, Gwen does not hide her trouble, as if a decisive life choice was before her. One day, she discovers a film at the cinema that seems inexplicably inspired by her own life. Will she find the answers she is looking for?",22.639,/nUTE76LKG45ntFkgGFz1lpluzQR.jpg,2025-03-14,Morlaix,False,0.0,0
False,/c5HfaZXhXCv1jwWBYuyD8xPOW3M.jpg,"[18, 10752]",1419826,en,The World Will Tremble,"The incredible, untold true story of how a group of prisoners attempt a seemingly impossible escape from the first Nazi death camp in order to provide the first eyewitness account of the Holocaust.",22.634,/nSVqv6Bx0fDZS55SynC7Kxspw2r.jpg,2025-03-14,The World Will Tremble,False,0.0,0
False,,[18],1330596,pt,Inimigo Revelador,"Victor has unfinished business with his former psychoanalyst Carmo. After years of holding a grudge, he lures Carmo into his house in order to finally take vengeance.",22.627,/twEjPAErx23tRBSOVfvziSNbRJf.jpg,2025-03-14,The Enemy's Gift,False,0.0,0
False,/efMmUfbqfMTtheqjcWiHDtxcXbA.jpg,"[18, 10749]",1424217,te,కోర్ట్ - State Vs. A Nobody,"A determined lawyer takes on a high-stakes case to defend a 19-year-old boy, challenging a system that has already branded him guilty.",22.618,/4pEX67LJd7ZIqYWtksBtOgQEGcQ.jpg,2025-03-14,Court - State Vs. A Nobody,False,0.0,0
False,/2uBo2Q2BSMvbTOo27fgB0VTCtKo.jpg,[18],1339790,zh,寂寞貓蛋糕,"Liu Hui is a widower whose son lives in America. She insists on living alone in the house she shared with her late husband, a calligrapher, and is surrounded by fond memories. As she gradually joins community activities, she strikes up an acquaintance with the kind and shy building caretaker who faces a quandary over a stray cat. Small moments together reveal loneliness and companionship.",22.609,,2025-03-14,"Cupcakes, Lonely Cats",False,0.0,0
False,/IwADj3Pn2s9SLSthhBxZp3X53g.jpg,"[18, 35, 80]",1442417,en,A Murder in Oakland: Beauty is Deadly,"Recently cleared of an embezzlement charge, Detective Williams (Marcus D Spencer) is handed a high-profile murder case while also forced to take on a new partner. Williams is trying to solve this case while also working to see if he can trust his partner.",22.594,/iGz5PJNLHKZnWI2x36kP8igIZOe.jpg,2025-03-14,A Murder in Oakland: Beauty is Deadly,False,1.0,1
