adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/lFmLxg61GXGCYowoQn0gSdZUQHI.jpg,[18],1400932,lv,Mūžīgi jauni,A coming of age story about a group of millennials who start to face their self-destructive tendencies as they each head straight into their crisis of thirtysomethings.,22.489,/zSXPnFB68yEokjRf4Ss2Y5F6toZ.jpg,2025-03-13,Youth Eternal,False,0.0,0
False,/32OKhnDgNyQFKlIMnefm9RbVKHs.jpg,[18],1404172,hr,Zečji nasip,"A story about a forbidden love set in a village threatened by swollen rivers. Upon his return home for his father’s funeral, Slaven revives his relationship with his childhood friend, a young sportsman named Marko, his teenage love, and the reason his father kicked him out of the house. Now tempted to reunite, they need to make peace with their own decisions and struggle against the family restraints.",22.48,/3jwR4NtikY53SO5agejuEYEzoh3.jpg,2025-03-13,Sandbag Dam,False,0.0,0
False,,[],1412392,id,Samar: Diam Atau Mati,Horror film about the negative impact of bullying in public schools,22.461,,2025-03-13,Samar: Diam Atau Mati,False,0.0,0
False,,"[14, 27]",1077281,ko,커플지옥,"A couple is kidnapped by a serial killer on their first anniversary. The kidnapper forces the couple to play a twisted game of rock paper scissors. Hyunsoo encounters a lady who looks very similar to his favorite adult streamer while delivering food to her. He gradually begins to believe that the lady is indeed the streamer and tries to contact her. Sumi needs to buy a luxury bag for her boyfriend’s birthday. But the bag is too expensive for her to purchase. So, she makes a unique trade with a wizard. Ji-Eun, who lives with her ill boyfriend, goes out every night but her daily life collapses when she brings a guy she meets at a jazz bar to her house.",22.444,/djnHdHdwiLGYYuUydOSykpp8kdl.jpg,2025-03-13,Couples to Hell,False,0.0,0
False,,"[18, 53]",1421001,ru,Последний день рождения,"A large family gather to celebrate a birthday. It would seem like a great reason to get together. But the family is just a project of one of the ""brothers"" — an experienced psychologist who is conducting an experiment to create a ""happiness formula"". He believes that manipulating others, their emotions and desires, will make them happy. However, love interferes with the mathematical calculations, which can neither be calculated nor predicted.",22.442,/zUjWFRvBJJkCezXzmIfj1dha34P.jpg,2025-03-13,The Last Birthday,False,0.0,0
False,/xNga7a6H0w2a7Aa2TwF40jyjXs.jpg,[],1422072,de,"Der Prank - April, April!","A failed April Fool's joke by twelve-year-old Chinese guest student Xi Zhōu turns the lives of Lucas, who is the same age, and his family upside down.",22.439,/iJt8QQbR0591KG6XmCXUYm3du7b.jpg,2025-03-13,"Der Prank - April, April!",False,0.0,0
False,/1093RXL18CIGpzM7VsEJqjKkkGu.jpg,[99],1422081,de,Sterben ohne Gott,,22.438,/mYMtn4ptf5YyoghgTgz2ER1TKTV.jpg,2025-03-13,Sterben ohne Gott,False,0.0,0
False,/5VSrIF6njdpTHpRLF9nzOhwmFUi.jpg,[27],1429784,id,Singsot: Siulan Kematian,"A kid defies the ancient taboo of whistling at dusk, unleashing a sinister terror tied to a cursed figure who made the same mistake. Bound by an inescapable curse, he’s thrust into a deadly race against time—because if he fails, the nightmare will become his new reality.",22.422,/llZca2miwygKwuyWUpyONCL6VAR.jpg,2025-03-13,Singsot: Siulan Kematian,False,0.0,0
False,,[99],1432795,en,"Luv Ya, Bum!","In the ’70s, Houston was booming... except for the city’s woeful pro football team. The Oilers gambled on hiring Bum Phillips, an unconventional East Texas coach known for cowboy hats, ostrich boots, and folksy one-liners. Ditching tradition and embracing a family-first atmosphere, Bum brought in 'misfits' and 'has-beens' to build a winner. At its peak, Bum’s Oilers blew up into the Luv Ya Blue!’ phenomenon, with Earl Campbell and the Oilers going to war with a Pittsburgh Steelers dynasty. Bum’s success on and off the field, his humanity and unique style left a legacy now carried forward by many, including his son and grandson, celebrated coaches Wade and Wes Phillips.",22.414,,2025-03-13,"Luv Ya, Bum!",False,0.0,0
False,/b4Ml5MwXypvF9k27iPIPfykuS8C.jpg,"[18, 35]",1434291,en,The Long Run,"When two oddball strangers leave their lives behind to chase their Hollywood dreams, they discover that what they lack in talent, they make up for with determination and a shared delusion, leading to an unexpected friendship that will make them question the realities of chasing a dream.",22.411,/n28AFdpqhKO5nt64QHQxClxUP4c.jpg,2025-03-13,The Long Run,False,0.0,0
False,,[99],1434414,en,Available Light,"The film explores notions of home and belonging in contemporary society. Comprising interviews with workers at the Edo Tokyo Open Air Architecture Museum in Tokyo, and fragments of conversations with renters in that city and London, a productive dialectic opens between the museum’s preserved historical ideal of the domestic and the often unsettling realities of temporary accommodation in modern cities. Combining trademark immersive sound design with impressionistic images and abstractions, Quaintance crafts an austere, oneiric and subtly affecting portrait of residential precarity.",22.409,,2025-03-13,Available Light,False,0.0,0
